id,应用名,描述,应用链接PC端,应用链接移动端,ks3store,update_avatar
1,WPS AI应用实操课,WPS AI应用实操课,https://kps.wps.cn/edu-pcweb/kpsDetail/f054cc04d39e41e8b3881cef0b8dc059,https://kps.wps.cn/edu-h5/kpsDetail/f054cc04d39e41e8b3881cef0b8dc059/?route=1,DD1AFB29M2ViOTFlNGYzM2E1NmVmOWUyYjYyMjhkNWU4MzUyMmE6a3MzOndvYS1zdGF0aWM=,false
2,AI 资料查找,智慧搜索尽在掌握,https://lingxi.wps.cn/search,https://lingxi.wps.cn/search,DD1AFB29MTllOWJiMWM2YzNmYzM2YjBmM2FhZjg0Njg1ZmEwZmY6a3MzOndvYS1zdGF0aWM=,false
3,文档迁移工具,一键迁移个人文档，快速同步个人会员权益,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&chn=woa,,DD1AFB29NmM1ZDc5MTYxMGMwOGVkMTYzMzM1ZTg0MTAzM2I3YjE6a3MzOndvYS1zdGF0aWM=,false
4,教研数据,数字教研全流程数据监控,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,,DD1AFB29MTZkZGM3Y2E5YjZhOTFkYTg4ZmIwODZiMGVhNzk0NzA6a3MzOndvYS1zdGF0aWM=,false
5,教师教学评价,教师教学评价,https://f.wps.cn/ksform/ots/101510,,DD1AFB29ZTdjNzk2ZmFjNzE1MjU0M2IwMzEwMmYyOWVkODU3NzE6a3MzOndvYS1zdGF0aWM=,false
6,作品上传投票,作品上传及投票,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002841/0-0?from=woa_edu_workspace,,DD1AFB29ZDY1ZjVlNzBmODY1OGUyZTJhYTI3M2Q5MzE1MWQ3MzY6a3MzOndvYS1zdGF0aWM=,false
7,活动报名查询,活动报名及查询,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002792/0-0?from=woa_edu_workspace,,DD1AFB29ZmUwYjMwZTliMjQ2NDU0MDgxNWNlYzljNDMzYWY1N2I6a3MzOndvYS1zdGF0aWM=,false
8,活动筹备分工,活动筹备及分工,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8&from=woa_edu_workspace,,DD1AFB29N2ZmMDI2MzI1MzVlOGEyOTdjMzBlMjQyNTcwM2I3MDc6a3MzOndvYS1zdGF0aWM=,false
9,学生返校信息收集,学生返校信息收集,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002988/0-0?from=woa_edu_workspace,,DD1AFB29YWFjZWNhZDg1NTUzZWZhMWEwNjkwNDIxYTVkZGVkZDY6a3MzOndvYS1zdGF0aWM=,false
10,学生假期去向管理,学生假期去向管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002988/0-0?from=woa_edu_workspace,,DD1AFB29ZTk0NjU2ZmVjZTNiOGVkNDU4ZjgyMWY2NzIwZTg1MTg6a3MzOndvYS1zdGF0aWM=,false
11,论文文献管理,论文文献管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900001926/0-0?from=pc_mymbshare,,DD1AFB29YTg1Y2I5NjdjNmE2YjQ0OTRmNGU0ZGVjZmNhZGEyOWY6a3MzOndvYS1zdGF0aWM=,false
12,教研,基于资源协同的一站式数字化教研平台,https://ewb.wps.cn/?chn=wps_pc_xiezuo_workspace,,DD1AFB29YjQ1NTcxNGYwZGNlYzZiOGFiNGZmYTQyYTNkZTllNzk6a3MzOndvYS1zdGF0aWM=,false
13,精品课,暂无,https://edu.wps.cn/,https://edu.wps.cn/,DD1AFB29ZTYwMzg2ZGNkY2IwMjEyZjEzNDQxMjYyZjNkOTk0NWI6a3MzOndvYS1zdGF0aWM=,false
14,KOS认证,金山推出的“学、练、考、评”一体化办公技能认证平台，旨在为学生及职场人士等所有需要使用WPS Office软件的用户人群提供的办公技能人才培育及认证平台,https://kos.wps.cn/kos-auth/intro,https://kos.wps.cn/m,DD1AFB29YjM2YWUzODcyNWM0ZWFiMmEwMGQwZDk1ZjdhMjkyMzY6a3MzOndvYS1zdGF0aWM=,false
15,计算机二级,暂无,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWJtTnlaVEltYzJsa1pVNWhkajF0WVdsdSIgL3NyYz10ZXN0&token=a077c685ffc093a7c87b8a3a7e11899a&cert_token=IM8/5t3Uw5N83Lho1If7TP81KECRuKV5dUhQAulR8gzl3DCMIaydpEAvpAMvn6Y09ULPvmoLIeYvEU7IxJqBFAEdPz6yqNtUAeKAt3KZgMwbOitMQqS81QUp8LdRtsk8WKQWITYATOj/djefiPU9uVSb3ZgaZT1lN2rTSCtkJzqup5l171Ki0YYKC1ww5tHc2/lN/oMcAJRTswwhO9dJdeNXvWo3BXsesPFBiLarI++rZLe4nTjiWAEYWiQfx2plvpaamfeHiTArgWNr4YPx1MVaW285x2lY2EapZXcCqDnDx42EzzBYWcEHJHf4c4sZz8h/0gszFyrN9wov9NylKQ==&cert_type=fixurl&business_from=enterprise,https://edu-m.wps.cn/detail/18e39765271d4cfdb7fcf6c9fe77e8fe,DD1AFB29NTRmNjQ1NGNiODczOTljMTg2ZjgzN2FmMWFlYmMxYTM6a3MzOndvYS1zdGF0aWM=,false
16,计算机一级,暂无,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWJtTnlaVEVtYzJsa1pVNWhkajF0WVdsdSIgL3NyYz10ZXN0&token=b9f0fbb4936645b096be986cfaabf59f&cert_token=o4/LH7IEi4QdyRRHpvm9TEVt97gkfcUayVqs8jIzM+tkOIDzEitxs7NqLE/nrcxRcECS6a5hqCjJFMxDciCvExsnB8a+gkgLaUachby2c73AgKMyuB9WW1FG5039KMGqVZswCwIWjvgmnDu445lvHctuKxmJk8IMTSrAfIsQVuMyXxW4p8YF6rSqq/OpdERKvbWt1l191Yjdw/76knwtAvhUcPWGtxMwZ4irMlIOHsYNfWysqUKmI+SPdO6BLpKetRKfUk+IaV8Kr+tZsjAioyLHiiP97XgpZZUX+rug53MVThBIYJfvdLMBK4kGkdSk1debI5wxv4XGnkQkuJafnw==&cert_type=fixurl&business_from=enterprise,https://edu-m.wps.cn/detail/011c2642731247e5bd2d6fb654a566c1,DD1AFB29OWFmMGUzZWEzNWFhOGY3MmQzODQ2MDVlYmM3NzYxNTY6a3MzOndvYS1zdGF0aWM=,false
17,WPS帮助中心,WPS 365教育版知识库，汇集各功能使用教程,https://365.kdocs.cn/wiki/l/0lcrGMUh9sQ78r/qa/?from=grouptitle,https://365.kdocs.cn/wiki/l/0lcrGMUh9sQ78r/qa/?from=grouptitle,DD1AFB29NjNkMDNjOThkMGNjZjNkMDg5ZGYzMTkzNzk5YjZlNGI6a3MzOndvYS1zdGF0aWM=,false
