id,应用名,描述,应用链接PC端,应用链接移动端,ks3store,update_avatar
1,学期个人评价,让学期评价更科学高效,https://kdocs.cn/l/cgqdGz3KaGhk,https://kdocs.cn/l/cgqdGz3KaGhk,DD1AFB29ZGU5NzAwN2U1Njc5YTA3NDM0MmMwMmNiMDlkMDRhMzY6a3MzOndvYS1zdGF0aWM=,true
2,教学资源,教师教育资源库,https://ewb.wps.cn/resource?reloadMenuKey=resource_official&identity=TEACHER,,DD1AFB29Njk4ODk3NmFhYThiZWFlY2E2ZmRiOGE2NzI4NDllY2U6a3MzOndvYS1zdGF0aWM=,true
3,AI 搜索,智慧搜索尽在掌握,https://lingxi.wps.cn/search,https://lingxi.wps.cn/search,DD1AFB29ZTRmMjk5NDYwMDIxNGE3MzVhNDE4OTdhNjlmMjUzMTE6a3MzOndvYS1zdGF0aWM=,true
4,AI 阅读,AI阅读,https://lingxi.wps.cn/read,https://lingxi.wps.cn/read,DD1AFB29MDM0Y2JhMzA0YjIzYmMzYzlhMDhmMGRiMWYzNDFlMDA6a3MzOndvYS1zdGF0aWM=,true
5,AI PPT,AI PPT,https://lingxi.wps.cn/ppt,https://lingxi.wps.cn/ppt,DD1AFB29YWQ1OWEwODY2YzlkMmRjNmYzYmVhMDgyOWVlNGJhYjc6a3MzOndvYS1zdGF0aWM=,true
6,AI 写作,AI写作,https://lingxi.wps.cn/creative,https://lingxi.wps.cn/creative,DD1AFB29ZGRlMDc0Mzc2ZGE3Y2M0MmRmMWUxYzUzMTg2ZTVjMTM6a3MzOndvYS1zdGF0aWM=,true
7,家长会签到,家长会签到,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002829?sourcepage=navigate&from=pc_mymbshare,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002829?sourcepage=navigate&from=pc_mymbshare,DD1AFB29MTE5MDk2MTVmYmQ3MjkxNjNkZjA5NjM2MjUzMzMyMjg6a3MzOndvYS1zdGF0aWM=,true
8,家访记录档案,家校沟通记录档案,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002830?sourcepage=navigate&from=pc_mymbshare,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002830?sourcepage=navigate&from=pc_mymbshare,DD1AFB29Nzc3Y2FjNzUyYTI3YmU5MmRlN2U0ZmM3NmQ0YzNiMjQ6a3MzOndvYS1zdGF0aWM=,true
9,学生花名册,数字化学生档案管理系统,https://docer.kdocs.cn/new/category/dbsheet/209/0/900002823?sourcepage=navigate&from=pc_new_mbshare,https://docer.kdocs.cn/new/category/dbsheet/209/0/900002823?sourcepage=navigate&from=pc_new_mbshare,DD1AFB29YWFhMmJjMTFkYzQwMDUzNGFmNWI4YzZhZDIxYzhlMDk6a3MzOndvYS1zdGF0aWM=,true
10,教师花名册,数字化教师档案管理系统,https://docer.kdocs.cn/new/category/dbsheet/209/0/900002822?sourcepage=navigate&from=pc_new_mbshare,https://docer.kdocs.cn/new/category/dbsheet/209/0/900002822?sourcepage=navigate&from=pc_new_mbshare,DD1AFB29ZTUzNDgzNGVhZDBlODNhYjI2MjUyODYwOTM4MWMwNjE6a3MzOndvYS1zdGF0aWM=,true
11,校服订购系统,智慧校服，高效管理,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002827?sourcepage=navigate&from=pc_mymbshare,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002827?sourcepage=navigate&from=pc_mymbshare,DD1AFB29YzYzYzc2ZTNjYzAxNThhZjUyMmY5OWMwNzU3M2QyZDQ6a3MzOndvYS1zdGF0aWM=,true
12,WPS 学堂,Office技巧学习平台,https://www.wps.cn/learning,https://www.wps.cn/learning,DD1AFB29OTVkZmJjMjRlZWU3ZDM1ODFhZjMzNmMwNGQzY2Y2YjA6a3MzOndvYS1zdGF0aWM=,true
13,文档迁移,一键迁移个人文档，快速同步个人会员权益,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&amp;chn=woa,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&amp;chn=woa,DD1AFB29YmZjNDNjNGRiYTRjNTlmOTAyOGRkZDU3MDU5N2QxOGM6a3MzOndvYS1zdGF0aWM=,true
14,精品课,一站式数字素养提升平台,https://edu.wps.cn/secondary?id=4ef5e904360745af91296e637b087931&pageSize=50&recommendIndex=10&title=WPS%25E7%25B2%25BE%25E5%2593%2581%25E8%25AF%25BE&type=courseSecondary&urlParams=%5Bobject%20Object%5D,https://edu.wps.cn/secondary?id=4ef5e904360745af91296e637b087931&pageSize=50&recommendIndex=10&title=WPS%25E7%25B2%25BE%25E5%2593%2581%25E8%25AF%25BE&type=courseSecondary&urlParams=%5Bobject%20Object%5D,DD1AFB29NTQyZTAxM2M4MjFhNGRmNzEyZjBhNDg1NjEzNmYzNmQ6a3MzOndvYS1zdGF0aWM=,true
15,国家中小学智慧教育平台,国家中小学智慧教育平台,https://basic.smartedu.cn/,https://basic.smartedu.cn/,DD1AFB29ZWYxMzUyMjgzOTFiZGFiYjllM2YxNGRlZGM2MTM5MzE6a3MzOndvYS1zdGF0aWM=,true
16,学科网,学科网,https://www.zxxk.com/,https://www.zxxk.com/,DD1AFB29YzJjYzhlMDYxZDE5MGQ0Zjk2ZWQ3MThhZTZhZGFhY2Q6a3MzOndvYS1zdGF0aWM=,true
17,WPS 帮助中心,轻松掌握WPS实用技巧,https://edu.wps.cn/operation/pc/learningHub,https://edu.wps.cn/operation/m/learningHub,DD1AFB29NGU1ZDRiNzgwOGUwNzIwZWRiOTNiNTBiZWNhM2IyMjI6a3MzOndvYS1zdGF0aWM=,true
18,活动模板,使用多维表模板，一键开展各类活动/赛事,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8%E6%A8%A1%E6%9D%BF&from=pc_new_mbshare,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8%E6%A8%A1%E6%9D%BF&from=pc_new_mbshare,DD1AFB29Y2JkNDU1ZWI0OWFkZjA4NWNiY2M5YWU1MzJhOGE5ZDg6a3MzOndvYS1zdGF0aWM=,true
19,数字党建,便捷管理组织内党员信息,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,DD1AFB29ZmRhNGM3MWJjYjk3NmI2M2RiMjg2MTNmMWZjMGY2ZTM6a3MzOndvYS1zdGF0aWM=,true
20,投票,快捷发起管理校内投票,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29Yjk5MzBkOTBhMjk5NDMxOGE1ZjU1ODI1NTE4NzJmMTU6a3MzOndvYS1zdGF0aWM=,true
21,知情同意书,快捷发起并管理同意书,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29YWJlMTNmZWRjZThiOTJjY2MzYzBhMGZmZDAyNWVmMjM6a3MzOndvYS1zdGF0aWM=,true
