id,应用名,描述,应用链接PC端,应用链接移动端,ks3store
1,文档迁移工具,一键迁移个人文档，快速同步个人会员权益,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&chn=woa,,DD1AFB29ZDA0OTBhMWQ5NDgyYjI2MzUzYmRmYjA4NTM5Y2Q5Zjc6a3MzOndvYS1zdGF0aWM=
2,教研数据,数字教研全流程数据监控,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,,DD1AFB29YTk3NGFmYzM5Zjg5YjhmNWE0NDc2MWFkYzQ2MjIxM2E6a3MzOndvYS1zdGF0aWM=
3,教师教学评价,教师教学评价,https://f.wps.cn/ksform/ots/101510,,DD1AFB29ZGNhNjhiNDhlZWVmMDMyODA1Y2JiNjExYTcwY2MyNTA6a3MzOndvYS1zdGF0aWM=
4,作品上传及投票,作品上传及投票,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002841/0-0?from=woa_edu_workspace,,DD1AFB29MTliMzQ4MjY3NTA5MmY2OTE4ZTUzYTU5NmEzOGYwODE6a3MzOndvYS1zdGF0aWM=
5,活动报名及查询,活动报名及查询,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002792/0-0?from=woa_edu_workspace,,DD1AFB29YzkyMTFmZjY5MmUyODJkMTA1MzNmMTBhZTlmYTViMzI6a3MzOndvYS1zdGF0aWM=
6,活动筹备及分工,活动筹备及分工,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8&from=woa_edu_workspace,,DD1AFB29NTViYjBmNDU5NWY4NWU2MzYyYTFlZGQ4OGFmMDFkNDM6a3MzOndvYS1zdGF0aWM=
7,学生返校信息收集,学生返校信息收集,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002849/0-0?from=woa_edu_workspace,,DD1AFB29OTQ1YzRlY2M5ZTZhMDUxZjgyOTk3NWUyMjJhMzlmZTc6a3MzOndvYS1zdGF0aWM=
8,学生假期去向管理,学生假期去向管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002848/0-0?from=woa_edu_workspace,,DD1AFB29ZmExMTQ2ODE0MzdmYjI5MmRkM2IzNWEwYzAwMWY2M2U6a3MzOndvYS1zdGF0aWM=
9,论文文献管理,论文文献管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900001926/0-0?from=pc_mymbshare,,DD1AFB29ZDg2NTJhMmVlODBjN2FlNDhiZDQ0MGNmMzk1M2MwYjg6a3MzOndvYS1zdGF0aWM=
10,教学空间,基于资源协同的一站式数字化教研平台,https://ewb.wps.cn/?chn=wps_pc_xiezuo_workspace,,DD1AFB29N2Q2MzBlODY0ODlmMTkxYmJjOGZjOWMxNWUyNDQ0NjM6a3MzOndvYS1zdGF0aWM=
11,WPS精品课,暂无,https://edu.wps.cn/,https://edu.wps.cn/,DD1AFB29ZjFkYzUzNjRhOTQ5Zjc2ODFkYmJmNjQwM2M5OGMyYWE6a3MzOndvYS1zdGF0aWM=
12,KOS认证,金山推出的“学、练、考、评”一体化办公技能认证平台，旨在为学生及职场人士等所有需要使用WPS Office软件的用户人群提供的办公技能人才培育及认证平台,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWEyOXpKbk5wWkdWT1lYWTliV0ZwYmc9PSIgL3NyYz10ZXN0&token=db5fd514162cc45662cdd9f8f02839c8,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWEyOXpKbk5wWkdWT1lYWTliV0ZwYmc9PSIgL3NyYz10ZXN0&token=db5fd514162cc45662cdd9f8f02839c8,DD1AFB29NjE0MGJiYTZlOTQ2MTFiYTU2YzFmNGVjMjg1ODUxMTg6a3MzOndvYS1zdGF0aWM=
13,计算机二级,暂无,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWJtTnlaVEltYzJsa1pVNWhkajF0WVdsdSIgL3NyYz10ZXN0&token=a077c685ffc093a7c87b8a3a7e11899a,https://edu-m.wps.cn/detail/18e39765271d4cfdb7fcf6c9fe77e8fe,DD1AFB29OTdlYjhkNTQxZmRkNGE2OWI0MDc0MzE1NWQxMWI1ZjI6a3MzOndvYS1zdGF0aWM=
